,0
TLT_daily_return,32.88347978588287
GLD_daily_return,49.07790599332908
HYG_daily_return,28.364094393481118
UUP_daily_return,91.62489579441979
IWM_daily_return,32.389529059864174
USO_daily_return,65.76041740102949
XLF_daily_return,49.358757051631
XLE_daily_return,82.42028492245275
^VIX_daily_return,29.36352546393688
SPY_mean_return_7_day/4window_return,47.45122867752307
TLT_mean_return_7_day/4window_return,45.876595584218904
TLT_return_delta_7_day,1626.9325012090958
GLD_mean_return_7_day/4window_return,44.42060692674654
GLD_return_delta_7_day,1751.94492761322
QQQ_mean_return_7_day/4window_return,37.196298218841065
QQQ_return_delta_7_day,1317.8371524776055
HYG_mean_return_7_day/4window_return,26.38262372313936
HYG_return_delta_7_day,2767.687786382068
UUP_mean_return_7_day/4window_return,186.58874637375672
UUP_return_delta_7_day,1435.8356918996556
IWM_mean_return_7_day/4window_return,183.2796415944847
IWM_return_delta_7_day,2168.309697120288
USO_mean_return_7_day/4window_return,50.210406818177916
USO_return_delta_7_day,1320.553325224614
XLF_mean_return_7_day/4window_return,72.2291390437775
XLF_return_delta_7_day,3295.8197079678707
XLE_mean_return_7_day/4window_return,226.9300232080668
XLE_return_delta_7_day,689.4721758796368
^VIX_mean_return_7_day/4window_return,95.39574946481743
^VIX_return_delta_7_day,15954.21968707267
SPY_vol_adjusted_mean_21_day,2.0747281879067114
TLT_ewm_return_21_day,6.4128823354408455
TLT_rolling_vol_21_day,0.3538591578493191
TLT_vol_adjusted_mean_21_day,5.603422807486449
GLD_ewm_return_21_day,10.076671968857086
GLD_rolling_vol_21_day,0.48704328275751363
GLD_vol_adjusted_mean_21_day,8.256156816496134
QQQ_vol_adjusted_mean_21_day,2.014436006909417
HYG_ewm_return_21_day,6.13801788227825
HYG_rolling_vol_21_day,1.0096611169638554
HYG_vol_adjusted_mean_21_day,2.3957561132774448
UUP_ewm_return_21_day,17.98383597956581
UUP_rolling_vol_21_day,0.3980281306637999
UUP_vol_adjusted_mean_21_day,11.705144052503226
IWM_ewm_return_21_day,6.571109299473382
IWM_vol_adjusted_mean_21_day,3.048057773533476
USO_ewm_return_21_day,13.744913290661307
USO_rolling_vol_21_day,0.46111109311793425
USO_vol_adjusted_mean_21_day,76.96379204012949
XLF_ewm_return_21_day,9.339955449533747
XLF_rolling_vol_21_day,0.8975671044868075
XLF_vol_adjusted_mean_21_day,3.097211715630358
XLE_ewm_return_21_day,18.26218485863156
XLE_rolling_vol_21_day,0.6576013010548315
XLE_vol_adjusted_mean_21_day,5.6746846783327305
^VIX_ewm_return_21_day,4.912620929142482
^VIX_rolling_vol_21_day,0.45405261930015073
^VIX_vol_adjusted_mean_21_day,22.982530157621927
SPY_vol_adjusted_mean_63_day,1.494329029756543
TLT_ewm_return_63_day,3.3773717823759757
TLT_rolling_vol_63_day,0.31151596279879196
TLT_vol_adjusted_mean_63_day,3.195234045133701
GLD_ewm_return_63_day,5.272298246231758
GLD_rolling_vol_63_day,0.4304675588490587
GLD_vol_adjusted_mean_63_day,5.0778076634707485
QQQ_vol_adjusted_mean_63_day,1.4376563147546406
HYG_ewm_return_63_day,3.6433900755738664
HYG_vol_adjusted_mean_63_day,1.6008210822418065
UUP_ewm_return_63_day,10.959323234497315
UUP_rolling_vol_63_day,0.35470868367886865
UUP_vol_adjusted_mean_63_day,8.07574974277608
IWM_ewm_return_63_day,4.553891454643851
IWM_vol_adjusted_mean_63_day,2.022484326956306
USO_ewm_return_63_day,7.953959689248678
USO_rolling_vol_63_day,0.4052020063887474
USO_vol_adjusted_mean_63_day,61.879316318500095
XLF_ewm_return_63_day,6.6678781015622155
XLF_vol_adjusted_mean_63_day,2.1083967051716446
XLE_ewm_return_63_day,17.654994840488346
XLE_rolling_vol_63_day,0.597875153603732
XLE_vol_adjusted_mean_63_day,4.243367291279418
^VIX_ewm_return_63_day,2.409618758439988
^VIX_rolling_vol_63_day,0.30956427000945475
^VIX_vol_adjusted_mean_63_day,2.9568635237936447
SPY_mean_return_3_day/4window_return,52.084253256448754
TLT_mean_return_3_day/4window_return,142.65709989099827
TLT_return_delta_3_day,1335.8456369143858
GLD_mean_return_3_day/4window_return,74.08482169463784
GLD_return_delta_3_day,1279.7892566039868
QQQ_mean_return_3_day/4window_return,86.47461291975836
QQQ_return_delta_3_day,1185.619462255868
HYG_mean_return_3_day/4window_return,194.78959462791437
HYG_return_delta_3_day,6055.372815916897
UUP_mean_return_3_day/4window_return,145.1862406470661
UUP_return_delta_3_day,1166.7016311628315
IWM_mean_return_3_day/4window_return,123.25694344077479
IWM_return_delta_3_day,1808.6324269720037
USO_mean_return_3_day/4window_return,51.41102108340356
USO_return_delta_3_day,2445.18909428279
XLF_mean_return_3_day/4window_return,384.34033132634573
XLF_return_delta_3_day,1234.4205218232426
XLE_mean_return_3_day/4window_return,43.01949034784274
XLE_return_delta_3_day,675.5135503855139
^VIX_mean_return_3_day/4window_return,47.137209834786
^VIX_return_delta_3_day,2542.5553241961047
SPY_GLD_corr_21_day_mean,228.97797073883373
SPY_QQQ_corr_21_day_mean,0.06035965979463355
SPY_IWM_corr_21_day_mean,0.07907230694186124
SPY_^VIX_corr_21_day_mean,0.11954987554426365
TLT_GLD_corr_21_day_mean,1.4097525700077442
TLT_QQQ_corr_21_day_mean,0.654501309440734
TLT_HYG_corr_21_day_mean,1.3603989992100882
TLT_UUP_corr_21_day_mean,7.288415948925734
TLT_IWM_corr_21_day_mean,0.5625678606732468
TLT_USO_corr_21_day_mean,1.028339224682477
TLT_XLF_corr_21_day_mean,0.4408296146850015
TLT_XLE_corr_21_day_mean,0.6563877904609392
TLT_^VIX_corr_21_day_mean,0.7006017237701084
GLD_HYG_corr_21_day_mean,4.75890245924789
GLD_UUP_corr_21_day_mean,0.5467534933172844
GLD_USO_corr_21_day_mean,1.2617230664068453
GLD_XLE_corr_21_day_mean,2.139662085397137
QQQ_HYG_corr_21_day_mean,0.27555066503783127
QQQ_IWM_corr_21_day_mean,0.14562790926618813
QQQ_USO_corr_21_day_mean,1.0113289308378195
QQQ_XLF_corr_21_day_mean,0.2715045534988591
QQQ_XLE_corr_21_day_mean,0.4147685766174638
QQQ_^VIX_corr_21_day_mean,0.14982195698741702
HYG_UUP_corr_21_day_mean,1.5128369392225454
HYG_IWM_corr_21_day_mean,0.2733295920872349
HYG_USO_corr_21_day_mean,0.6299900949714474
HYG_XLF_corr_21_day_mean,0.33537552103036655
HYG_XLE_corr_21_day_mean,0.3264381664265721
HYG_^VIX_corr_21_day_mean,0.2594586256412088
UUP_USO_corr_21_day_mean,0.9957088255527881
UUP_XLF_corr_21_day_mean,5.11630242089529
UUP_XLE_corr_21_day_mean,1.2547087373352817
IWM_XLF_corr_21_day_mean,0.14666459676795993
IWM_XLE_corr_21_day_mean,0.3088173207192733
IWM_^VIX_corr_21_day_mean,0.14307427920846447
USO_XLF_corr_21_day_mean,0.9626898791021246
USO_XLE_corr_21_day_mean,0.22554729862802556
USO_^VIX_corr_21_day_mean,0.8372138912856626
XLF_XLE_corr_21_day_mean,0.36231882929437453
XLF_^VIX_corr_21_day_mean,0.21836669439793796
XLE_^VIX_corr_21_day_mean,0.32620115338074196
